Departamento,Area de Cobertura,canal o frecuencia,medio,nombre,facebook,seguidores,lat,lon
Santa Cruz,Montero,"102,7",Radio,RADIO IDENTIDAD FM STEREO,,,,
Santa Cruz,Montero,"103,1",Radio,RADIO F.M. CARISMA,,,,
Santa Cruz,Montero,"103,9",Radio,WARA COMUNICACIONES,,,,
Santa Cruz,Montero,"105,5",Radio,RADIO MARIA AUXILIADORA SRL,,,,
Santa Cruz,Montero,"104,7",Radio,RADIO CADENA NACIONAL S.R.L. R.C.N.,,,,
Santa Cruz,Montero,,Redes Sociales,Diario Zona Norte,https://www.facebook.com/diariozonanorte.2020/,127000,-17.345124746488484,-63.253241045729574
Santa Cruz,Montero,,Redes Sociales,Montero Noticias,https://www.facebook.com/monteronoticias/?ref=embed_page,85000,-17.348655450033668,-63.25544398990823
Santa Cruz,Montero,,Redes Sociales,Red de Noticias Montero,https://www.facebook.com/RedNoticias.Montero,36000,-17.336448767416897,-63.225570361082696
Cochabamba,Chimore-Shinahota,4,television,RADIO TELEVISION MONUMENTAL RTM,,,,
Cochabamba,Chimore-Shinahota,7,television,"EMPRESA ESTATAL DE TELEVISION ""BOLIVIA TV""",https://www.facebook.com/BoliviaTvCanalOficial?locale=es_LA,206000,-16.49945974345345,-68.13226350341606
Cochabamba,Chimore-Shinahota,11,television,CASTELLON COMUNICACIONES CCTV,,,,
Cochabamba,Chimore-Shinahota,13,television,RED UNIVERSITARIA DE INFORMACION - RED RUBI,,,,
Santa Cruz,Montero,12,Televisión,EMPRESA DE COMUNICACIONES DEL ORIENTE LTDA. ECOR LTDA,https://www.facebook.com/unitelbolivia,3000000,-17.820070785817567,-63.2202134310568
Santa Cruz,Montero,51,Televisión,EMPRESA DE COMUNICACIONES DEL ORIENTE LTDA. ECOR LTDA (Rx),https://www.facebook.com/unitelbolivia,3000000,-17.820070785817567,-63.2202134310568
Santa Cruz,Montero,10,Televisión,RED UNO DE BOLIVIA SA.,https://www.facebook.com/RedUnotv,2300000,-17.772398846993916,-63.188979289900445
Santa Cruz,Montero,8,Televisión,VISION CRUZ CANAL 8,https://www.facebook.com/noticiasvisioncruz,122000,-17.34079170095124,-63.25583611689392
Santa Cruz,Montero,57,Televisión,COOPERATIVA DE SERVICIOS GERMAN MORENO LTDA.,https://www.facebook.com/canal57MGM,3120,,
Santa Cruz,Montero,18,Televisión,TELEVISION COSMOS UNIVERSITARIA,https://www.facebook.com/profile.php?id=100089561286208,17,,
Santa Cruz,Montero,3,Televisión,GALAVISION S.R.L.,,,,
Santa Cruz,Montero,6,Televisión,SOCIEDAD INTEGRAL DE TELEVISION SRL SITEL SRL,,,,
Santa Cruz,Montero,16,Televisión,RTU RADIO TV UNIVERSAL MONTERO,,,,
Santa Cruz,Montero,21,Televisión,CORPORACION BOLIVIANA DE TELEVISION S.R.L.,,,,
Santa Cruz,Montero,24,Televisión,JET VISION RED INTEGRAL DE COMUNICACIONES SRL,,,,
Santa Cruz,Montero,30,Televisión,RADIO AUTENTIKA DE MONTERO,,,,
Santa Cruz,Montero,36,Televisión,ANGEL TV,,,,
Santa Cruz,Montero,39,Televisión,RED UNIVERSITARIA DE INFORMACION - RED RUBI,,,,
Santa Cruz,Montero,42,Televisión,TV LATINA,,,,
Santa Cruz,Montero,45,Televisión,TEODORA VALENCIA LEQUIPE RAMOS,,,,
Santa Cruz,Montero,48,Televisión,TV MUNDIAL RTM,,,,
Santa Cruz,Yapacani,7,Televisión,"EMPRESA ESTATAL DE TELEVISION ""BOLIVIA TV""",https://www.facebook.com/BoliviaTvCanalOficial,181000,-16.49945974345345,-68.13226350341606
Santa Cruz,Yapacani,10,Televisión,TV YAPACANI,https://www.facebook.com/RadioYapacani,81000,,
Santa Cruz,Yapacani,8,Televisión,Tv Comunitaria Villa Yapacani,,,-17.401404451893047,-63.88187538805718
Santa Cruz,Yapacani,13,Televisión,ICHILO VISION CANAL 13 VHF,https://www.facebook.com/radiotvichilo,80000,-17.403680130034427,-63.88062193408602
Santa Cruz,Yapacani,25,Televisión,OCULA TELECOMUNICACIONES,https://www.facebook.com/TvAmboro,4253,,
Santa Cruz,Yapacani,22,Televisión,TELEVISION COSMOS UNIVERSITARIA,https://www.facebook.com/profile.php?id=100089561286208,17,,
Santa Cruz,Yapacani,6,Televisión,RED UNIVERSITARIA DE INFORMACION - RED RUBI,,,,
Santa Cruz,Yapacani,2,Televisión,FEDERACION SINDICAL DE COLONIZADORES PRODUCTORES AGROPECUARIOS DE YAPACANI,,,,
Santa Cruz,Yapacani,4,Televisión,SINDICATO DE TRANSPORTE 10 DE FEBRERO. Radio televisión omega,,,-17.402153956100133,-63.88084240015448
Santa Cruz,Yapacani,34,Televisión,ASOCIACION BOLIVIANA JAPONESA SAN JUAN DE YAPACANI,,,,
